WikiData.txt输入统计 边数【链接数量】:38153 ,最大ID【总页数】：8297
读入文件耗时：0.04481s ,累计耗时: 0.04481s
迭代次数:34,误差1.231273927e-08
迭代计算耗时：0.09694699943s ,累计耗时: 0.1417569965s

TOP100	 ID 	 RANK
1	4037	0.001649733051
2	15	0.001317682909
3	6634	0.001284377067
4	2625	0.001175809419
5	2398	0.0009340979741
6	2470	0.000903709617
7	2237	0.0008939899271
8	4191	0.0008120700368
9	7553	0.0007769349613
10	5254	0.0007699060952
11	2328	0.0007302163285
12	1186	0.0007288819179
13	1297	0.0006967646186
14	4335	0.0006935138954
15	7620	0.0006918374565
16	5412	0.0006871235091
17	7632	0.0006831226638
18	4875	0.0006709731533
19	6946	0.0006475584232
20	3352	0.0006387972971
21	6832	0.0006331492332
22	2654	0.0006327189622
23	762	0.0006238257047
24	737	0.0006229264545
25	2066	0.0006143555511
26	8293	0.0006106348592
27	3089	0.0006094542914
28	28	0.0006047273055
29	2535	0.0005966326571
30	3334	0.0005933230859
31	214	0.0005913735949
32	665	0.0005883473787
33	4735	0.0005798026104
34	6774	0.0005782573717
35	7092	0.0005735093146
36	2565	0.0005554443342
37	5484	0.000552523532
38	8042	0.000528812292
39	4310	0.0005235106219
40	5423	0.0005076218513
41	1211	0.0005076057278
42	3456	0.0005073502543
43	2657	0.0004888462136
44	5404	0.0004884033697
45	5233	0.0004876262974
46	4712	0.0004805022036
47	271	0.0004749054497
48	4828	0.0004657263053
49	5079	0.0004652034258
50	4261	0.0004604019923
51	5210	0.000458445109
52	8163	0.0004523456737
53	6914	0.0004513616441
54	3459	0.0004502183874
55	2285	0.0004446134553
56	1549	0.0004445582454
57	1842	0.0004422947241
58	4666	0.0004339670704
59	993	0.0004297837731
60	3084	0.0004237802641
61	3562	0.000421886245
62	1026	0.0004199838149
63	5123	0.0004171193868
64	2958	0.00041498887
65	3537	0.0004097532074
66	3117	0.0004095724144
67	2576	0.0004082241503
68	2643	0.0004014807346
69	922	0.0003974862047
70	5022	0.0003967286902
71	299	0.0003953407286
72	1855	0.000394413888
73	3897	0.0003935467685
74	2651	0.0003934283741
75	4110	0.0003926268837
76	282	0.0003848717024
77	4600	0.0003833105729
78	1031	0.0003828640911
79	4687	0.0003825964814
80	7699	0.0003814773809
81	4536	0.0003811776114
82	2871	0.0003810040653
83	2746	0.0003809387854
84	3443	0.0003805310989
85	3755	0.0003800530103
86	1385	0.0003793500946
87	3568	0.000376594573
88	5459	0.0003758475068
89	5543	0.0003756641818
90	4400	0.0003735422797
91	2485	0.0003686613927
92	1633	0.0003642149095
93	7890	0.0003631649015
94	3976	0.000362719933
95	4256	0.0003622302029
96	1726	0.0003567746608
97	3238	0.0003547378583
98	2323	0.0003533340059
99	6784	0.0003516692959
100	3034	0.0003505578497
全部8297条结果已输出到 pagerank.txt中
排序输出耗时：0.03915899992s ,累计耗时: 0.1809159964s
