init(初始化文件)耗时：0.230662s ,累计耗时: 0.230662s

迭代次数:21,误差9.458794011e-06
iterate(迭代)耗时：5.731698s ,累计耗时: 5.96236s

TOP100
id	RANK
4037	0.001649795333
15	0.001317749149
6634	0.00128459034
2625	0.001175882062
2398	0.0009341672412
2470	0.0009037224809
2237	0.000894013443
4191	0.000812119164
7553	0.0007769808872
5254	0.0007699464331
2328	0.0007302570739
1186	0.0007288955385
1297	0.0006968050147
4335	0.0006935667479
7620	0.0006918801228
5412	0.0006871832302
7632	0.0006831770879
4875	0.0006710147136
6946	0.0006476728595
3352	0.0006388354814
6832	0.0006331955665
2654	0.0006327427109
762	0.0006238618516
737	0.000622972264
2066	0.0006144028739
8293	0.000610650517
3089	0.0006094990531
28	0.0006047411589
2535	0.0005966661847
3334	0.0005933610955
214	0.0005913907662
665	0.0005883550621
4735	0.0005798407365
6774	0.0005782750086
7092	0.0005735502928
2565	0.0005554794916
5484	0.0005525594461
8042	0.0005289232358
4310	0.0005235522403
5423	0.0005076522939
1211	0.0005076318048
3456	0.0005073915818
2657	0.0004888754338
5404	0.000488439633
5233	0.0004876688181
4712	0.0004805459175
271	0.0004749191576
4828	0.000465772202
5079	0.0004652362841
4261	0.0004604159913
5210	0.0004584700218
8163	0.0004524490796
6914	0.0004513885069
3459	0.0004502511292
2285	0.0004446194216
1549	0.0004445948289
1842	0.0004423067148
4666	0.0004339930892
993	0.0004298065614
3084	0.0004238221154
3562	0.0004219138355
1026	0.0004200041585
5123	0.0004171545152
2958	0.0004150156747
3537	0.0004097752972
3117	0.0004095996846
2576	0.0004082485684
2643	0.0004014926963
922	0.0003975015134
5022	0.000396753836
299	0.0003953516716
1855	0.0003944209602
3897	0.0003935756395
2651	0.0003934537526
4110	0.0003926422214
282	0.0003848797933
4600	0.0003833270457
1031	0.0003828858316
4687	0.0003826116445
7699	0.0003815053497
4536	0.0003812055802
2871	0.0003810253984
2746	0.0003809785994
3443	0.00038055185
3755	0.0003800692793
1385	0.0003793695942
3568	0.000376621756
5459	0.0003758724197
5543	0.0003756840888
4400	0.0003735749051
2485	0.0003686835698
1633	0.0003642339725
7890	0.000363187748
3976	0.000362748804
4256	0.0003622513905
1726	0.0003567903477
3238	0.0003547651286
2323	0.0003533550189
6784	0.0003516919678
3034	0.0003505845671
保存值pointer.txt
sort(排序输出)耗时：0.013703s ,累计耗时: 5.976063s
